,Model,Model Type,Architecture,Flops,Framework,Device,Average Time,Std Time
0,inception_resnet_v2_2016_08_30,General,Inception-ResNet-v2,118206904.0,Tensorflow 1.15.3,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,206.64758682250977,4.072645530200642
1,inception_v1_2016_08_28,General,Inception-v1,13220736.0,Tensorflow 1.15.3,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,0.4004478454589844,0.5483424296974534
2,inception_v2_2016_08_28,General,Inception-v2,22336816.0,Tensorflow 1.15.3,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,30.518627166748047,0.8918309411836053
3,inception_v3_2016_08_28,General,Inception-v3,54251712.0,Tensorflow 1.15.3,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,82.57923126220703,3.024897763526164
4,inception_v4_2016_09_09,General,Inception-v4,91949250.0,Tensorflow 1.15.3,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,152.39262580871582,3.6230049154618524
5,mobilenet_v1_0.5_160,General,MobileNet-v1,2640320.0,Tensorflow 1.15.3,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,11.574363708496094,0.5382938890923017
6,mobilenet_v1_1.0_224,General,MobileNet-v1,8420224.0,Tensorflow 1.15.3,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,20.74437141418457,0.8353178298704417
7,mobilenet_v2_1.0_224,General,MobileNet-v2,6942080.0,Tensorflow 1.15.3,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,22.93877601623535,1.584139002833563
8,mobilenet_v2_1.4_224,General,MobileNet-v2,12123264.0,Tensorflow 1.15.3,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,30.518436431884766,2.6009413439689113
9,nasnet-a_large_04_10_2017,General,NAS,177119028.0,Tensorflow 1.15.3,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,426.85837745666504,3.595536473752723
10,nasnet-a_mobile_04_10_2017,General,NAS,10506592.0,Tensorflow 1.15.3,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,39.69378471374512,2.1607970686107354
11,resnet_v1_101_2016_08_28,General,ResNet-101-v1,88885632.0,Tensorflow 1.15.3,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,108.11095237731934,1.1377824261576857
12,resnet_v1_152_2016_08_28,General,ResNet-152-v1,120080768.0,Tensorflow 1.15.3,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,166.15581512451172,3.351537313637186
13,resnet_v1_50_2016_08_28,General,ResNet-50-v1,51005824.0,Tensorflow 1.15.3,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,60.837507247924805,0.7058757409762508
14,resnet_v2_101_2017_04_14,General,ResNet-101-v2,88889728.0,Tensorflow 1.15.3,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,125.46463012695312,1.7848129836447513
15,resnet_v2_152_2017_04_14,General,ResNet-152-v2,120084864.0,Tensorflow 1.15.3,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,189.8921012878418,2.783191154007136
16,resnet_v2_50_2017_04_14,General,ResNet-50-v2,51009920.0,Tensorflow 1.15.3,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,72.60584831237793,1.9182490069995708
17,vgg_16_2016_08_28,General,VGG-16,276688272.0,Tensorflow 1.15.3,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,162.36472129821777,3.2593657949985184
18,vgg_19_2016_08_28,General,VGG-19,287305107.0,Tensorflow 1.15.3,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,184.9052906036377,3.353647799374507
